category,folder_name,movie_name,year,relative_path,parse_status,note
原盘压缩（外语）,终结者6.黑暗命运.2019.2160p.UHD.BluRay.X265.10bit.HDR.TrueHD.7.1.Atmos-TERMiNAL,终结者6 黑暗命运,2019,原盘压缩（外语）/终结者6.黑暗命运.2019.2160p.UHD.BluRay.X265.10bit.HDR.TrueHD.7.1.Atmos-TERMiNAL,OK,
原盘压缩（外语）,绝世天劫.1998.1080p.BluRay.DTS-HD-5.1.x264-Japhson,绝世天劫,1998,原盘压缩（外语）/绝世天劫.1998.1080p.BluRay.DTS-HD-5.1.x264-Japhson,OK,
原盘压缩（外语）,绿皮书.2018.1080p.BluRay.x264.TrueHD.7.1.Atmos-HDC,绿皮书,2018,原盘压缩（外语）/绿皮书.2018.1080p.BluRay.x264.TrueHD.7.1.Atmos-HDC,OK,
原盘压缩（外语）,绿里奇迹.1999.BluRay.1080p.Dual.Audio.DD5.1.x264-BMDru,绿里奇迹,1999,原盘压缩（外语）/绿里奇迹.1999.BluRay.1080p.Dual.Audio.DD5.1.x264-BMDru,OK,
原盘压缩（外语）,编号17.2025.UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD7.1.mUHD-FRDS,编号17,2025,原盘压缩（外语）/编号17.2025.UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD7.1.mUHD-FRDS,OK,
原盘压缩（外语）,网络谜踪.2018.1080p.BluRay.x264.DTS-HD.MA.5.1-FGT,网络谜踪,2018,原盘压缩（外语）/网络谜踪.2018.1080p.BluRay.x264.DTS-HD.MA.5.1-FGT,OK,
原盘压缩（外语）,网络迷踪2.2023.1080p.WEB.H264-NAISU[rarbg],网络迷踪2,2023,原盘压缩（外语）/网络迷踪2.2023.1080p.WEB.H264-NAISU[rarbg],OK,
原盘压缩（外语）,美丽人生.1997.Bluray.1080p.x265.AAC(5.1).5Audios.GREENOTEA,美丽人生,1997,原盘压缩（外语）/美丽人生.1997.Bluray.1080p.x265.AAC(5.1).5Audios.GREENOTEA,OK,
原盘压缩（外语）,美国战队.世界警察.2004.UHD.BluRay.2160p.x265.10bit.DV.HDR.DTS-HD.MA.5.1.mUHD-FRDS,美国战队 世界警察,2004,原盘压缩（外语）/美国战队.世界警察.2004.UHD.BluRay.2160p.x265.10bit.DV.HDR.DTS-HD.MA.5.1.mUHD-FRDS,OK,
原盘压缩（外语）,美国队长.2011.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,美国队长,2011,原盘压缩（外语）/美国队长.2011.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
原盘压缩（外语）,美国队长2.冬日战士.2014.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,美国队长2 冬日战士,2014,原盘压缩（外语）/美国队长2.冬日战士.2014.2160p.BluRay.x265.10bit.SDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
